vehicle,segment_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current,min_current,max_current,num_samples,integrated_current_ah,estimated_capacity_ah
4,11906,417121019.0,417124929.0,1.086111111111111,61.0,97.0,36.0,-79.05,-139.6,-47.0,236,85.63527777777777,237.87577160493828
4,12436,417211332.0,417215412.0,1.1333333333333333,40.0,90.0,50.0,-110.40163265306121,-198.0,-55.1,245,125.08166666666668,250.16333333333336
4,12948,418121135.0,418130725.0,2.6638888888888888,26.0,95.0,69.0,-107.39910714285713,-175.8,-47.4,336,228.0313888888889,330.4802737520129
4,13648,419124821.0,419133751.0,2.4805555555555556,33.0,94.0,61.0,-107.00671140939596,-199.7,-15.0,298,305.3355555555555,500.5500910746812
4,14266,419192934.0,419201304.0,2.325,50.0,82.0,32.0,-66.28473282442748,-149.2,-27.1,262,134.03583333333336,418.86197916666674
4,14536,420015551.0,420024651.0,2.5277777777777777,35.0,94.0,59.0,-102.41628664495114,-194.9,-30.4,307,357.29055555555556,605.5772128060264
4,14900,420123325.0,420131825.0,2.361111111111111,53.0,92.0,39.0,-79.38339483394834,-169.5,3.2,271,174.9611111111111,448.6182336182336
4,15258,420190924.0,420194824.0,1.0833333333333333,60.0,95.0,35.0,-80.08589743589744,-141.6,-24.7,234,86.50277777777777,247.15079365079364
4,15762,421123700.0,421131700.0,2.2222222222222223,56.0,95.0,39.0,-87.70497925311203,-142.5,3.7,241,158.04166666666666,405.2350427350427
4,16246,421212122.0,421215012.0,0.8027777777777778,35.0,79.0,44.0,-136.27011494252875,-179.7,-107.9,174,109.01361111111109,247.75820707070702
4,16864,422060716.0,422071806.0,3.0805555555555557,4.0,96.0,92.0,-112.1267605633803,-199.5,0.1,426,282.2413888888889,306.7841183574879
4,17522,423003052.0,423005202.0,0.5972222222222222,35.0,61.0,26.0,-111.7265625,-148.4,-19.2,128,67.25055555555556,258.6559829059829
4,17754,423075945.0,423085935.0,2.775,31.0,99.0,68.0,-97.39833333333334,-200.5,-14.9,360,350.0969444444445,514.8484477124183
4,18474,424120226.0,424124936.0,1.3083333333333333,40.0,95.0,55.0,-99.1225352112676,-200.2,-46.1,284,129.435,235.33636363636361
4,19060,425011410.0,425021240.0,2.7305555555555556,16.0,95.0,79.0,-115.75795454545454,-199.5,-25.8,352,248.27499999999998,314.27215189873414
4,19362,425180051.0,425181711.0,0.46111111111111114,63.0,80.0,17.0,-93.55858585858587,-119.9,0.5,99,42.97222222222222,252.77777777777774
4,20068,426115741.0,426130231.0,4.025,9.0,95.0,86.0,-115.23538461538462,-199.5,-18.4,390,491.77722222222224,571.8339793281654
4,20756,427005731.0,427020051.0,3.977777777777778,20.0,98.0,78.0,-105.89343832020998,-197.3,-48.1,381,403.7947222222223,517.6855413105413
4,21458,428015527.0,428024837.0,2.5861111111111112,26.0,94.0,68.0,-112.94812499999998,-198.9,-47.9,320,383.8380555555555,564.4677287581699
